"Data Source","World Development Indicators",

"Last Updated Date","2024-06-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"Aruba","ABW","Population, total","SP.POP.TOTL","80324","83200","85451","87277","89005","90853","92898","94992","97017","98737","100031","100834","101222","101358","101455","101669","102046","102560","103159","103774","104341","104872","105366","105845","106000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population, total","SP.POP.TOTL","18110657","18853437","19357126","19737765","20170844","20779953","21606988","22600770","23680871","24726684","25654277","26433049","27100536","27722276","28394813","29185507","30117413","31161376","32269589","33370794","34413603","35383128","36296400","37172386","38042000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Population, total","SP.POP.TOTL","13945206","14400719","14871570","15359601","15866869","16395473","16945753","17519417","18121479","18758145","19433602","20149901","20905363","21695634","22514281","23356246","24220661","25107931","26015780","26941779","27884381","28842484","29816748","30809762","31825000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Anguilla","AIA","Population, total","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Population, total","SP.POP.TOTL","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2867000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Population, total","SP.POP.TOTL","63850","64360","64327","64142","64370","65390","67341","70049","73182","76244","78867","80993","82684","83862","84463","84449","83747","82427","80774","79213","78011","77297","77001","77006","77000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Population, total","SP.POP.TOTL","190124","188225","185762","183172","181033","179769","179516","180170","181607","183603","185967","188700","191788","194999","198037","200689","202847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, total","SP.POP.TOTL","250504422","255932514","261260242","266537558","271912978","277561423","283493089","289680968","296095945","302824676","309824383","317125787","324693498","332424892","340149038","347737036","355137048","362466629","369761523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Population, total","SP.POP.TOTL","2415090","2539126","2671362","2813214","2966034","3134062","3302719","3478777","3711932","4068570","4588225","5300174","6168838","7089487","7917372","8549988","8946777","9141596","9197910","9214175","9262900","9360980","9487203","9630959","9771000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Population, total","SP.POP.TOTL","34828170","35246374","35657429","36063459","36467218","36870787","37275652","37681749","38087868","38491972","38892931","39289878","39684295","40080160","40482788","40788453","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502","44901000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
